date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:38	88051/88051	---MCZ	200	added ('OK')	text/html	etag:%22157f3-53732e22390cb%22	http://aosabook.org/en/500L/an-archaeology-inspired-database.html	aosabook.org/en/500L/an-archaeology-inspired-database.html	(from )
10:21:38	246/246	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Tue,%2004%20Oct%202016%2014:21:38%20GMT	http://aosabook.org/robots.txt		(from )
10:21:39	10924/10924	---M-Z	200	added ('OK')	text/css	etag:%222aac-53732e0b348ac%22	http://aosabook.org/en/500L/theme/css/bootstrap-responsive.css	aosabook.org/en/500L/theme/css/bootstrap-responsive.css	(from http://aosabook.org/en/500L/an-archaeology-inspired-database.html)
10:21:39	84430/84430	---MCZ	200	added ('OK')	text/css	etag:%22149ce-53732e0c4405f%22	http://aosabook.org/en/500L/theme/css/bootstrap.css	aosabook.org/en/500L/theme/css/bootstrap.css	(from http://aosabook.org/en/500L/an-archaeology-inspired-database.html)
10:21:39	533/533	---M-Z	200	added ('OK')	text/css	etag:%22215-53732e0c578de%22	http://aosabook.org/en/500L/theme/css/code.css	aosabook.org/en/500L/theme/css/code.css	(from http://aosabook.org/en/500L/an-archaeology-inspired-database.html)
10:21:39	2891/2891	---M-Z	200	added ('OK')	text/css	etag:%22b4b-53732e0b01c2e%22	http://aosabook.org/en/500L/theme/css/500L.css	aosabook.org/en/500L/theme/css/500L.css	(from http://aosabook.org/en/500L/an-archaeology-inspired-database.html)
10:21:40	359/359	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Oct%202016%2014:21:40%20GMT	http://aosabook.org/en/500L/theme/img/glyphicons-halflings.png	aosabook.org/en/500L/theme/img/glyphicons-halflings.8.delayed	(from http://aosabook.org/en/500L/theme/css/bootstrap.css)
10:21:40	365/365	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Oct%202016%2014:21:40%20GMT	http://aosabook.org/en/500L/theme/img/glyphicons-halflings-white.png	aosabook.org/en/500L/theme/img/glyphicons-halflings-white.png	(from http://aosabook.org/en/500L/theme/css/bootstrap.css)
10:21:41	14976/14976	---M--	200	added ('OK')	image/png	etag:%223a80-5366ca020fe6f%22	http://aosabook.org/en/500L/functionalDB-images/image_1.png	aosabook.org/en/500L/functionalDB-images/image_1.png	(from http://aosabook.org/en/500L/an-archaeology-inspired-database.html)
10:21:41	15087/15087	---M--	200	added ('OK')	image/png	etag:%223aef-5366ca020fe6f%22	http://aosabook.org/en/500L/functionalDB-images/image_2.png	aosabook.org/en/500L/functionalDB-images/image_2.png	(from http://aosabook.org/en/500L/an-archaeology-inspired-database.html)
10:21:44	91608/91608	---M--	200	added ('OK')	image/png	etag:%22165d8-5366ca020a0b0%22	http://aosabook.org/en/500L/functionalDB-images/image_0.png	aosabook.org/en/500L/functionalDB-images/image_0.png	(from http://aosabook.org/en/500L/an-archaeology-inspired-database.html)
