date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:57	1229/1229	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2001%20Sep%202016%2018:00:56%20GMT	http://learnyouahaskell.com/robots.txt		(from )
14:00:58	2626/2626	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2018:00:57%20GMT	http://learnyouahaskell.com/	learnyouahaskell.com/index.html	(from )
14:00:58	874/874	---M--	200	added ('OK')	text/css	etag:%2236a-4569347957100%22	http://learnyouahaskell.com/reset.css	learnyouahaskell.com/reset.css	(from http://learnyouahaskell.com/)
14:00:58	4257/4257	---M--	200	added ('OK')	text/css	etag:%2210a1-4a86f71726040%22	http://learnyouahaskell.com/style.css	learnyouahaskell.com/style.css	(from http://learnyouahaskell.com/)
14:00:58	2305/2305	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2019%20Apr%202010%2008:10:22%20GMT	http://learnyouahaskell.com/rss.php	learnyouahaskell.com/rss.php	(from http://learnyouahaskell.com/)
14:00:59	3707/3707	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2018:00:58%20GMT	http://learnyouahaskell.com/faq	learnyouahaskell.com/faq.html	(from http://learnyouahaskell.com/)
14:00:59	12756/12756	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2018:00:58%20GMT	http://learnyouahaskell.com/chapters	learnyouahaskell.com/chapters.html	(from http://learnyouahaskell.com/)
14:01:01	57761/57761	---M--	200	added ('OK')	image/png	etag:%22e1a1-4a729f3957a40%22	http://learnyouahaskell.com/newsplash.png	learnyouahaskell.com/newsplash.png	(from http://learnyouahaskell.com/)
14:01:01	311/311	---M--	200	added ('OK')	image/png	etag:%22137-4a8da80cb8100%22	http://learnyouahaskell.com/favicon.png	learnyouahaskell.com/favicon.png	(from http://learnyouahaskell.com/faq)
14:01:01	4034/4034	---M--	200	added ('OK')	text/css	etag:%22fc2-48d148f8baa80%22	http://learnyouahaskell.com/sh/Styles/SyntaxHighlighter.css	learnyouahaskell.com/sh/Styles/SyntaxHighlighter.css	(from http://learnyouahaskell.com/faq)
14:01:01	12245/12245	---M--	200	added ('OK')	application/javascript	etag:%222fd5-455b47f1e2980%22	http://learnyouahaskell.com/sh/Scripts/shCore.js	learnyouahaskell.com/sh/Scripts/shCore.js	(from http://learnyouahaskell.com/faq)
14:01:02	3168/3168	---M--	200	added ('OK')	application/javascript	etag:%22c60-468f094849800%22	http://learnyouahaskell.com/shBrushHaskell.js	learnyouahaskell.com/shBrushHaskell.js	(from http://learnyouahaskell.com/faq)
14:01:02	609/609	---M--	200	added ('OK')	application/javascript	etag:%22261-45aca8085f940%22	http://learnyouahaskell.com/shBrushPlain.js	learnyouahaskell.com/shBrushPlain.js	(from http://learnyouahaskell.com/faq)
14:01:02	109/109	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%226d-455b47e94d540%22	http://learnyouahaskell.com/sh/Scripts/clipboard.swf	learnyouahaskell.com/sh/Scripts/clipboard.swf	(from http://learnyouahaskell.com/faq)
