date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:23	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-479759f2550c0%22	http://learnyousomeerlang.com/robots.txt		(from )
13:55:24	3207/3207	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:23%20GMT	http://learnyousomeerlang.com/	learnyousomeerlang.com/index.html	(from )
13:55:24	2230/2230	---M--	200	added ('OK')	text/css	etag:%228b6-4d2efdb978680%22	http://learnyousomeerlang.com/static/css/splash.css?	learnyousomeerlang.com/static/css/splashd41d.css	(from http://learnyousomeerlang.com/)
13:55:24	824/824	---M--	200	added ('OK')	image/x-icon	etag:%22338-48e97a973ff40%22	http://learnyousomeerlang.com/favicon.ico	learnyousomeerlang.com/favicon.ico	(from http://learnyousomeerlang.com/)
13:55:24	22412/22412	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2001%20Sep%202016%2017:55:24%20GMT	http://learnyousomeerlang.com/rss	learnyousomeerlang.com/rss	(from http://learnyousomeerlang.com/)
13:55:24	3733/3733	---M--	200	added ('OK')	image/png	etag:%22e95-4c647126db540%22	http://learnyousomeerlang.com/static/img/touch-icon-iphone.png	learnyousomeerlang.com/static/img/touch-icon-iphone.png	(from http://learnyousomeerlang.com/)
13:55:25	5062/5062	---M--	200	added ('OK')	image/png	etag:%2213c6-4c647126db540%22	http://learnyousomeerlang.com/static/img/touch-icon-ipad.png	learnyousomeerlang.com/static/img/touch-icon-ipad.png	(from http://learnyousomeerlang.com/)
13:55:25	9871/9871	---M--	200	added ('OK')	image/png	etag:%22268f-4c647126db540%22	http://learnyousomeerlang.com/static/img/touch-icon-iphone4.png	learnyousomeerlang.com/static/img/touch-icon-iphone4.png	(from http://learnyousomeerlang.com/)
13:55:26	9042/9042	---M--	200	added ('OK')	image/png	etag:%222352-4d2efca022ec0%22	http://learnyousomeerlang.com/static/img/splash-joe.png	learnyousomeerlang.com/static/img/splash-joe.png	(from http://learnyousomeerlang.com/)
13:55:26	263/263	---M--	200	added ('OK')	image/png	etag:%22107-4d2efca022ec0%22	http://learnyousomeerlang.com/static/img/splash-gradient.png	learnyousomeerlang.com/static/img/splash-gradient.png	(from http://learnyousomeerlang.com/static/css/splash.css?)
13:55:27	47983/47983	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:26%20GMT	http://learnyousomeerlang.com/content	learnyousomeerlang.com/content.html	(from http://learnyousomeerlang.com/)
13:55:27	4604/4604	---M--	200	added ('OK')	image/png	etag:%2211fc-4d2efc9f2ec80%22	http://learnyousomeerlang.com/static/img/splash-buy.png	learnyousomeerlang.com/static/img/splash-buy.png	(from http://learnyousomeerlang.com/static/css/splash.css?)
13:55:28	3569/3569	---M--	200	added ('OK')	image/png	etag:%22df1-4d2efca117100%22	http://learnyousomeerlang.com/static/img/splash-read.png	learnyousomeerlang.com/static/img/splash-read.png	(from http://learnyousomeerlang.com/static/css/splash.css?)
13:55:37	135556/135556	---M--	200	added ('OK')	image/png	etag:%2221184-4d2efc9f2ec80%22	http://learnyousomeerlang.com/static/img/splash-book.png	learnyousomeerlang.com/static/img/splash-book.png	(from http://learnyousomeerlang.com/)
13:55:39	183150/183150	---M--	200	added ('OK')	application/zip	etag:%222cb6e-512829b4ecc15%22	http://learnyousomeerlang.com/static/erlang/learn-you-some-erlang.zip	learnyousomeerlang.com/static/erlang/learn-you-some-erlang.zip	(from http://learnyousomeerlang.com/)
13:55:40	3721/3721	---M--	200	added ('OK')	text/css	etag:%22e89-49023170fa900%22	http://learnyousomeerlang.com/static/css/sh/shThemeLYSE2.css	learnyousomeerlang.com/static/css/sh/shThemeLYSE2.css	(from http://learnyousomeerlang.com/content)
13:55:40	913/913	---M--	200	added ('OK')	text/css	etag:%22391-4d2efdb884440%22	http://learnyousomeerlang.com/static/css/print.css	learnyousomeerlang.com/static/css/print.css	(from http://learnyousomeerlang.com/content)
13:55:40	11758/11758	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:40%20GMT	http://learnyousomeerlang.com/faq	learnyousomeerlang.com/faq.html	(from http://learnyousomeerlang.com/content)
13:55:41	18097/18097	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:40%20GMT	http://learnyousomeerlang.com/introduction	learnyousomeerlang.com/introduction.html	(from http://learnyousomeerlang.com/content)
13:55:41	8535/8535	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:41%20GMT	http://learnyousomeerlang.com/starting-out	learnyousomeerlang.com/starting-out.html	(from http://learnyousomeerlang.com/content)
13:55:42	46911/46911	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:41%20GMT	http://learnyousomeerlang.com/starting-out-for-real	learnyousomeerlang.com/starting-out-for-real.html	(from http://learnyousomeerlang.com/content)
13:55:42	25161/25161	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:41%20GMT	http://learnyousomeerlang.com/modules	learnyousomeerlang.com/modules.html	(from http://learnyousomeerlang.com/content)
13:55:43	30325/30325	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:41%20GMT	http://learnyousomeerlang.com/syntax-in-functions	learnyousomeerlang.com/syntax-in-functions.html	(from http://learnyousomeerlang.com/content)
13:55:44	24259/24259	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:42%20GMT	http://learnyousomeerlang.com/types-or-lack-thereof	learnyousomeerlang.com/types-or-lack-thereof.html	(from http://learnyousomeerlang.com/content)
13:55:44	29976/29976	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:42%20GMT	http://learnyousomeerlang.com/higher-order-functions	learnyousomeerlang.com/higher-order-functions.html	(from http://learnyousomeerlang.com/content)
13:55:44	41107/41107	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:42%20GMT	http://learnyousomeerlang.com/recursion	learnyousomeerlang.com/recursion.html	(from http://learnyousomeerlang.com/content)
13:55:46	42536/42536	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:44%20GMT	http://learnyousomeerlang.com/errors-and-exceptions	learnyousomeerlang.com/errors-and-exceptions.html	(from http://learnyousomeerlang.com/content)
13:55:46	39872/39872	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:44%20GMT	http://learnyousomeerlang.com/functionally-solving-problems	learnyousomeerlang.com/functionally-solving-problems.html	(from http://learnyousomeerlang.com/content)
13:55:46	41098/41098	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:44%20GMT	http://learnyousomeerlang.com/a-short-visit-to-common-data-structures	learnyousomeerlang.com/a-short-visit-to-common-data-structures.html	(from http://learnyousomeerlang.com/content)
13:55:46	37199/37199	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:44%20GMT	http://learnyousomeerlang.com/the-hitchhikers-guide-to-concurrency	learnyousomeerlang.com/the-hitchhikers-guide-to-concurrency.html	(from http://learnyousomeerlang.com/content)
13:55:47	24706/24706	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:46%20GMT	http://learnyousomeerlang.com/more-on-multiprocessing	learnyousomeerlang.com/more-on-multiprocessing.html	(from http://learnyousomeerlang.com/content)
13:55:48	26302/26302	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:47%20GMT	http://learnyousomeerlang.com/what-is-otp	learnyousomeerlang.com/what-is-otp.html	(from http://learnyousomeerlang.com/content)
13:55:48	35314/35314	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:46%20GMT	http://learnyousomeerlang.com/errors-and-processes	learnyousomeerlang.com/errors-and-processes.html	(from http://learnyousomeerlang.com/content)
13:55:48	23102/23102	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:47%20GMT	http://learnyousomeerlang.com/clients-and-servers	learnyousomeerlang.com/clients-and-servers.html	(from http://learnyousomeerlang.com/content)
13:55:48	51903/51903	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:46%20GMT	http://learnyousomeerlang.com/designing-a-concurrent-application	learnyousomeerlang.com/designing-a-concurrent-application.html	(from http://learnyousomeerlang.com/content)
13:55:51	38244/38244	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:48%20GMT	http://learnyousomeerlang.com/event-handlers	learnyousomeerlang.com/event-handlers.html	(from http://learnyousomeerlang.com/content)
13:55:51	66070/66070	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:48%20GMT	http://learnyousomeerlang.com/finite-state-machines	learnyousomeerlang.com/finite-state-machines.html	(from http://learnyousomeerlang.com/content)
13:55:51	44940/44940	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:49%20GMT	http://learnyousomeerlang.com/supervisors	learnyousomeerlang.com/supervisors.html	(from http://learnyousomeerlang.com/content)
13:55:51	51233/51233	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:49%20GMT	http://learnyousomeerlang.com/building-applications-with-otp	learnyousomeerlang.com/building-applications-with-otp.html	(from http://learnyousomeerlang.com/content)
13:55:51	30842/30842	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:51%20GMT	http://learnyousomeerlang.com/building-otp-applications	learnyousomeerlang.com/building-otp-applications.html	(from http://learnyousomeerlang.com/content)
13:55:53	50745/50745	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:51%20GMT	http://learnyousomeerlang.com/the-count-of-applications	learnyousomeerlang.com/the-count-of-applications.html	(from http://learnyousomeerlang.com/content)
13:55:54	45305/45305	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:51%20GMT	http://learnyousomeerlang.com/release-is-the-word	learnyousomeerlang.com/release-is-the-word.html	(from http://learnyousomeerlang.com/content)
13:55:54	50794/50794	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:51%20GMT	http://learnyousomeerlang.com/relups	learnyousomeerlang.com/relups.html	(from http://learnyousomeerlang.com/content)
13:55:54	57268/57268	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:51%20GMT	http://learnyousomeerlang.com/buckets-of-sockets	learnyousomeerlang.com/buckets-of-sockets.html	(from http://learnyousomeerlang.com/content)
13:55:56	49517/49517	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:53%20GMT	http://learnyousomeerlang.com/eunit	learnyousomeerlang.com/eunit.html	(from http://learnyousomeerlang.com/content)
13:55:56	29661/29661	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:54%20GMT	http://learnyousomeerlang.com/distributed-otp-applications	learnyousomeerlang.com/distributed-otp-applications.html	(from http://learnyousomeerlang.com/content)
13:55:56	55307/55307	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:54%20GMT	http://learnyousomeerlang.com/ets	learnyousomeerlang.com/ets.html	(from http://learnyousomeerlang.com/content)
13:55:57	78567/78567	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:54%20GMT	http://learnyousomeerlang.com/distribunomicon	learnyousomeerlang.com/distribunomicon.html	(from http://learnyousomeerlang.com/content)
13:55:59	13030/13030	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:57%20GMT	http://learnyousomeerlang.com/conclusion	learnyousomeerlang.com/conclusion.html	(from http://learnyousomeerlang.com/content)
13:55:59	61045/61045	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:56%20GMT	http://learnyousomeerlang.com/common-test-for-uncommon-tests	learnyousomeerlang.com/common-test-for-uncommon-tests.html	(from http://learnyousomeerlang.com/content)
13:56:00	78315/78315	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:57%20GMT	http://learnyousomeerlang.com/dialyzer	learnyousomeerlang.com/dialyzer.html	(from http://learnyousomeerlang.com/content)
13:56:00	83525/83525	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:56%20GMT	http://learnyousomeerlang.com/mnesia	learnyousomeerlang.com/mnesia.html	(from http://learnyousomeerlang.com/content)
13:56:01	24507/24507	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:59%20GMT	http://learnyousomeerlang.com/time	learnyousomeerlang.com/time.html	(from http://learnyousomeerlang.com/content)
13:56:01	32353/32353	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:55:59%20GMT	http://learnyousomeerlang.com/maps	learnyousomeerlang.com/maps.html	(from http://learnyousomeerlang.com/content)
13:56:01	1483/1483	---M--	200	added ('OK')	image/png	etag:%225cb-4c6470f35bbc0%22	http://learnyousomeerlang.com/static/img/cc.png	learnyousomeerlang.com/static/img/cc.png	(from http://learnyousomeerlang.com/content)
13:56:01	47983/47983	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:56:00%20GMT	http://learnyousomeerlang.com/contents	learnyousomeerlang.com/contents.html	(from http://learnyousomeerlang.com/content)
13:56:01	7819/7819	---M--	200	added ('OK')	text/css	etag:%221e8b-51956b20caab1%22	http://learnyousomeerlang.com/static/css/screen.css?v3	learnyousomeerlang.com/static/css/screen43a0.css	(from http://learnyousomeerlang.com/content)
13:56:02	7549/7549	---M--	200	added ('OK')	text/css	etag:%221d7d-4902316b41b80%22	http://learnyousomeerlang.com/static/css/sh/shCore.css	learnyousomeerlang.com/static/css/sh/shCore.css	(from http://learnyousomeerlang.com/content)
13:56:02	631/631	---M--	200	added ('OK')	image/png	etag:%22277-49023172e2d80%22	http://learnyousomeerlang.com/static/css/sh/wrapping.png	learnyousomeerlang.com/static/css/sh/wrapping.png	(from http://learnyousomeerlang.com/static/css/sh/shThemeLYSE2.css)
13:56:02	4446/4446	---M--	200	added ('OK')	application/javascript	etag:%22115e-4b514178e0780%22	http://learnyousomeerlang.com/static/js/shBrushErlang2.js?11	learnyousomeerlang.com/static/js/shBrushErlang26512.js	(from http://learnyousomeerlang.com/content)
13:56:03	4222/4222	---M--	200	added ('OK')	image/png	etag:%22107e-4c647100b5b40%22	http://learnyousomeerlang.com/static/img/erlang.png	learnyousomeerlang.com/static/img/erlang.png	(from http://learnyousomeerlang.com/introduction)
13:56:03	4936/4936	---M--	200	added ('OK')	image/png	etag:%221348-4c6470fecd6c0%22	http://learnyousomeerlang.com/static/img/envelope.png	learnyousomeerlang.com/static/img/envelope.png	(from http://learnyousomeerlang.com/introduction)
13:56:04	4979/4979	---M--	200	added ('OK')	image/png	etag:%221373-4c64711f3a340%22	http://learnyousomeerlang.com/static/img/scaling.png	learnyousomeerlang.com/static/img/scaling.png	(from http://learnyousomeerlang.com/introduction)
13:56:04	18755/18755	---M--	200	added ('OK')	application/javascript	etag:%224943-4b514178e0780%22	http://learnyousomeerlang.com/static/js/shCore.js	learnyousomeerlang.com/static/js/shCore.js	(from http://learnyousomeerlang.com/content)
13:56:04	10420/10420	---M--	200	added ('OK')	image/png	etag:%2228b4-4c647110ec180%22	http://learnyousomeerlang.com/static/img/letitcrash.png	learnyousomeerlang.com/static/img/letitcrash.png	(from http://learnyousomeerlang.com/introduction)
13:56:04	7993/7993	---M--	200	added ('OK')	image/png	etag:%221f39-4c6471202e580%22	http://learnyousomeerlang.com/static/img/shell.png	learnyousomeerlang.com/static/img/shell.png	(from http://learnyousomeerlang.com/starting-out)
13:56:05	5373/5373	---M--	200	added ('OK')	image/png	etag:%2214fd-4c6470f173740%22	http://learnyousomeerlang.com/static/img/calculator.png	learnyousomeerlang.com/static/img/calculator.png	(from http://learnyousomeerlang.com/starting-out-for-real)
13:56:06	10718/10718	---M--	200	added ('OK')	image/png	etag:%2229de-4c6470ee97080%22	http://learnyousomeerlang.com/static/img/atom.png	learnyousomeerlang.com/static/img/atom.png	(from http://learnyousomeerlang.com/starting-out-for-real)
13:56:06	7217/7217	---M--	200	added ('OK')	image/png	etag:%221c31-4c647113c8840%22	http://learnyousomeerlang.com/static/img/mr-brackets.png	learnyousomeerlang.com/static/img/mr-brackets.png	(from http://learnyousomeerlang.com/starting-out-for-real)
13:56:06	9817/9817	---M--	200	added ('OK')	image/png	etag:%222659-4c6470ef8b2c0%22	http://learnyousomeerlang.com/static/img/boole.png	learnyousomeerlang.com/static/img/boole.png	(from http://learnyousomeerlang.com/starting-out-for-real)
13:56:06	632/632	---M--	200	added ('OK')	image/png	etag:%22278-4c64711f3a340%22	http://learnyousomeerlang.com/static/img/set-comprehension.png	learnyousomeerlang.com/static/img/set-comprehension.png	(from http://learnyousomeerlang.com/starting-out-for-real)
13:56:06	13726/13726	---M--	200	added ('OK')	image/png	etag:%22359e-4c64712ba0080%22	http://learnyousomeerlang.com/static/img/worm.png	learnyousomeerlang.com/static/img/worm.png	(from http://learnyousomeerlang.com/starting-out-for-real)
13:56:07	2321/2321	---M--	200	added ('OK')	image/png	etag:%22911-4c647124f30c0%22	http://learnyousomeerlang.com/static/img/string.png	learnyousomeerlang.com/static/img/string.png	(from http://learnyousomeerlang.com/starting-out-for-real)
13:56:07	8557/8557	---M--	200	added ('OK')	image/png	etag:%22216d-4c6470ef8b2c0%22	http://learnyousomeerlang.com/static/img/binometer.png	learnyousomeerlang.com/static/img/binometer.png	(from http://learnyousomeerlang.com/starting-out-for-real)
13:56:07	5776/5776	---M--	200	added ('OK')	image/png	etag:%221690-4c647112d4600%22	http://learnyousomeerlang.com/static/img/modules.png	learnyousomeerlang.com/static/img/modules.png	(from http://learnyousomeerlang.com/modules)
13:56:07	284/284	---M--	200	added ('OK')	text/html	etag:%2211c-4c64714fdd600%22	http://learnyousomeerlang.com/static/erlang/useless.erl	learnyousomeerlang.com/static/erlang/useless.html	(from http://learnyousomeerlang.com/modules)
13:56:07	4461/4461	---M--	200	added ('OK')	image/png	etag:%22116d-4c6470fa08b80%22	http://learnyousomeerlang.com/static/img/declaration.png	learnyousomeerlang.com/static/img/declaration.png	(from http://learnyousomeerlang.com/modules)
13:56:07	5034/5034	---M--	200	added ('OK')	image/png	etag:%2213aa-4c64710f03d00%22	http://learnyousomeerlang.com/static/img/imports.png	learnyousomeerlang.com/static/img/imports.png	(from http://learnyousomeerlang.com/modules)
13:56:07	1782/1782	---M--	200	added ('OK')	text/html	etag:%226f6-4c64714df5180%22	http://learnyousomeerlang.com/static/erlang/tester.erl	learnyousomeerlang.com/static/erlang/tester.html	(from http://learnyousomeerlang.com/modules)
13:56:08	449/449	---M--	200	added ('OK')	text/html	etag:%221c1-4c64714653f80%22	http://learnyousomeerlang.com/static/erlang/functions.erl	learnyousomeerlang.com/static/erlang/functions.html	(from http://learnyousomeerlang.com/syntax-in-functions)
