date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:19	74/74	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Thu,%2001%20Sep%202016%2017:46:19%20GMT	http://malisper.me/robots.txt		(from )
13:46:20	111081/111081	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:19%20GMT	http://malisper.me/	malisper.me/index.html	(from )
13:46:20	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2001%20Sep%202016%2017:46:20%20GMT	http://malisper.me/xmlrpc.php	malisper.me/xmlrpc.php	(from http://malisper.me/)
13:46:21	99640/99640	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:20%20GMT	http://malisper.me/page/2/	malisper.me/page/2/index.html	(from http://malisper.me/)
13:46:21	51083/51083	U--M-Z	200	updated ('OK')	text/css	etag:%22c78b-520afc7850fe7-gzip%22	http://malisper.me/wp-content/themes/scrawl-wpcom/style.css?ver=4.6	malisper.me/wp-content/themes/scrawl-wpcom/style167b.css	(from http://malisper.me/)
13:46:22	8907/8907	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2001%20Sep%202016%2017:46:22%20GMT	http://malisper.me/wp-content/uploads/2015/07/ezgif.com-resize.gif	malisper.me/wp-content/uploads/2015/07/ezgif.com-resize.gif	(from http://malisper.me/page/2/)
13:46:22	154/154	U--M-Z	200	updated ('OK')	text/css	etag:%229a-520afc7852f27-gzip%22	http://malisper.me/wp-content/themes/scrawl-wpcom/fonts/genericons.css?ver=3.3	malisper.me/wp-content/themes/scrawl-wpcom/fonts/genericons6de8.css	(from http://malisper.me/)
13:46:23	9413/9413	U--MCZ	200	updated ('OK')	application/rss+xml	etag:%22d3ef172aed7ecfe47c3333e2709d1d29-gzip%22	http://malisper.me/comments/feed/	malisper.me/comments/feed/index.html	(from http://malisper.me/)
13:46:23	10056/10056	U--M-Z	200	updated ('OK')	application/javascript	etag:%222748-535ce27643e9c-gzip%22	http://malisper.me/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	malisper.me/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://malisper.me/)
13:46:23	101900/101900	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%2230616ec80abd0cb6d46d40f9bce577f6-gzip-gzip%22	http://malisper.me/feed/	malisper.me/feed/index.html	(from http://malisper.me/)
13:46:23	1045/1045	U--M-Z	200	updated ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	http://malisper.me/wp-includes/wlwmanifest.xml	malisper.me/wp-includes/wlwmanifest.xml	(from http://malisper.me/)
13:46:23	800/800	U--M-Z	200	updated ('OK')	text/xml	date:Thu,%2001%20Sep%202016%2017:46:23%20GMT	http://malisper.me/xmlrpc.php?rsd	malisper.me/xmlrpc0db0.php	(from http://malisper.me/)
13:46:23	984/984	U--MC-	200	updated ('OK')	application/json	date:Thu,%2001%20Sep%202016%2017:46:23%20GMT	http://malisper.me/wp-json/	malisper.me/wp-json/index.html	(from http://malisper.me/)
13:46:25	13110/13110	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:23%20GMT	http://malisper.me/about-me/	malisper.me/about-me/index.html	(from http://malisper.me/)
13:46:25	22061/22061	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:23%20GMT	http://malisper.me/about-this-site-2/	malisper.me/about-this-site-2/index.html	(from http://malisper.me/)
13:46:25	97184/97184	U--M-Z	200	updated ('OK')	application/javascript	etag:%2217ba0-535ce27643e9c-gzip%22	http://malisper.me/wp-includes/js/jquery/jquery.js?ver=1.12.4	malisper.me/wp-includes/js/jquery/jqueryb8ff.js	(from http://malisper.me/)
13:46:25	30253/30253	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:25%20GMT	http://malisper.me/2016/04/	malisper.me/2016/04/index.html	(from http://malisper.me/)
13:46:25	17014/17014	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:25%20GMT	http://malisper.me/2016/01/	malisper.me/2016/01/index.html	(from http://malisper.me/)
13:46:25	44842/44842	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:24%20GMT	http://malisper.me/2016/06/	malisper.me/2016/06/index.html	(from http://malisper.me/)
13:46:26	527/527	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2001%20Sep%202016%2017:46:26%20GMT	http://malisper.me/wp-content/plugins/akismet/_inc/form.js?ver=3.1.11	malisper.me/wp-content/plugins/akismet/_inc/form2d73.js	(from http://malisper.me/about-me/)
13:46:26	15628/15628	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:25%20GMT	http://malisper.me/2015/12/	malisper.me/2015/12/index.html	(from http://malisper.me/)
13:46:26	17903/17903	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:26%20GMT	http://malisper.me/2015/10/	malisper.me/2015/10/index.html	(from http://malisper.me/)
13:46:26	27056/27056	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:26%20GMT	http://malisper.me/2015/11/	malisper.me/2015/11/index.html	(from http://malisper.me/)
13:46:26	39219/39219	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:26%20GMT	http://malisper.me/2015/09/	malisper.me/2015/09/index.html	(from http://malisper.me/)
13:46:27	49938/49938	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:26%20GMT	http://malisper.me/2015/08/	malisper.me/2015/08/index.html	(from http://malisper.me/)
13:46:28	34537/34537	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:26%20GMT	http://malisper.me/2015/07/	malisper.me/2015/07/index.html	(from http://malisper.me/)
13:46:28	43703/43703	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:26%20GMT	http://malisper.me/2015/06/	malisper.me/2015/06/index.html	(from http://malisper.me/)
13:46:28	20643/20643	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:26%20GMT	http://malisper.me/2015/05/	malisper.me/2015/05/index.html	(from http://malisper.me/)
13:46:28	60851/60851	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:46:27%20GMT	http://malisper.me/category/basics/	malisper.me/category/basics/index.html	(from http://malisper.me/)
