date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:44	74/74	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Thu,%2001%20Sep%202016%2017:02:44%20GMT	http://malisper.me/robots.txt		(from )
13:02:44	111081/111081	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:02:44%20GMT	http://malisper.me/	malisper.me/index.html	(from )
13:02:45	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2001%20Sep%202016%2017:02:44%20GMT	http://malisper.me/xmlrpc.php	malisper.me/xmlrpc.php	(from http://malisper.me/)
13:02:45	51083/51083	---M-Z	200	added ('OK')	text/css	etag:%22c78b-520afc7850fe7-gzip%22	http://malisper.me/wp-content/themes/scrawl-wpcom/style.css?ver=4.6	malisper.me/wp-content/themes/scrawl-wpcom/style167b.css	(from http://malisper.me/)
13:02:45	154/154	---M-Z	200	added ('OK')	text/css	etag:%229a-520afc7852f27-gzip%22	http://malisper.me/wp-content/themes/scrawl-wpcom/fonts/genericons.css?ver=3.3	malisper.me/wp-content/themes/scrawl-wpcom/fonts/genericons6de8.css	(from http://malisper.me/)
13:02:46	99640/99640	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2017:02:45%20GMT	http://malisper.me/page/2/	malisper.me/page/2/index.html	(from http://malisper.me/)
13:02:47	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-535ce27643e9c-gzip%22	http://malisper.me/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	malisper.me/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://malisper.me/)
13:02:47	800/800	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Sep%202016%2017:02:47%20GMT	http://malisper.me/xmlrpc.php?rsd	malisper.me/xmlrpc0db0.php	(from http://malisper.me/)
13:02:47	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	http://malisper.me/wp-includes/wlwmanifest.xml	malisper.me/wp-includes/wlwmanifest.xml	(from http://malisper.me/)
13:02:47	821/821	---M-Z	200	added ('OK')	application/javascript	etag:%22335-52e7e591047bc-gzip%22	http://malisper.me/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/scripts/shBrushPlain.js?ver=3.0.9b	malisper.me/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/scripts/shBrushPlain09b1.js	(from http://malisper.me/)
13:02:47	6786/6786	---M-Z	200	added ('OK')	text/css	etag:%221a82-52e7e591066fc-gzip%22	http://malisper.me/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/styles/shCore.css?ver=3.0.9b	malisper.me/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/styles/shCore09b1.css	(from http://malisper.me/)
13:02:48	3321/3321	---M-Z	200	added ('OK')	text/css	etag:%22cf9-52e7e5910575c-gzip%22	http://malisper.me/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/styles/shThemeEclipse.css?ver=3.0.9b	malisper.me/wp-content/plugins/syntaxhighlighter/syntaxhighlighter3/styles/shThemeEclipse09b1.css	(from http://malisper.me/)
13:02:48	9226/9226	---M-Z	200	added ('OK')	text/css	etag:%22240a-51761dffeb6ac-gzip%22	http://malisper.me/wp-content/plugins/easy-footnotes/assets/qtip/jquery.qtip.min.css?ver=4.6	malisper.me/wp-content/plugins/easy-footnotes/assets/qtip/jquery.qtip.min167b.css	(from http://malisper.me/)
