date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:35	335/335	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:34%20GMT	http://www.optionseducation.org/robots.txt		(from )
16:19:39	129881/129881	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:34%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/strategies.html	www.optionseducation.org/strategies_advanced_concepts/strategies.html	(from )
16:19:40	368/368	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:39%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/Netscape6/	www.optionseducation.org/strategies_advanced_concepts/Netscape6/index.html	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
16:19:40	303/303	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jan%202017%2021:19:40%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/http%3A%2F%2Fwww.optionseducation.org%2Fstrategies_advanced_concepts%2Fstrategies.html	www.optionseducation.org/strategies_advanced_concepts/http_/www.optionseducation.org/strategies_advanced_concepts/strategies.3.delayed	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
16:19:49	94462/94462	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:39%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/getting_started.html	www.optionseducation.org/strategies_advanced_concepts/getting_started.html	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
16:19:51	100364/100364	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:39%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/advanced_concepts.html	www.optionseducation.org/strategies_advanced_concepts/advanced_concepts.html	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
16:19:56	108433/108433	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:40%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/strategies/bear_call_spread.html	www.optionseducation.org/strategies_advanced_concepts/strategies/bear_call_spread.html	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
16:19:57	108430/108430	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:41%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/strategies/bear_put_spread.html	www.optionseducation.org/strategies_advanced_concepts/strategies/bear_put_spread.html	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
16:20:05	108319/108319	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:50%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/strategies/bull_call_spread.html	www.optionseducation.org/strategies_advanced_concepts/strategies/bull_call_spread.html	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
16:20:06	108227/108227	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:52%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/strategies/bull_put_spread.html	www.optionseducation.org/strategies_advanced_concepts/strategies/bull_put_spread.html	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
16:20:11	106914/106914	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:56%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/strategies/cash_backed_call.html	www.optionseducation.org/strategies_advanced_concepts/strategies/cash_backed_call.html	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
16:20:11	110334/110334	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2021:19:57%20GMT	http://www.optionseducation.org/strategies_advanced_concepts/strategies/cash_secured_put.html	www.optionseducation.org/strategies_advanced_concepts/strategies/cash_secured_put.html	(from http://www.optionseducation.org/strategies_advanced_concepts/strategies.html)
