date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:55:52	3470/3470	---M--	404	error ('Not%20Found')	text/html	etag:%22d8e-530b126bfc540%22	http://practicaltypography.com/robots.txt		(from )
01:55:52	13954/13954	---M-Z	200	added ('OK')	text/html	etag:%223682-53cf452a84700-gzip%22	http://practicaltypography.com/	practicaltypography.com/index.html	(from )
01:55:53	21949/21949	---M-Z	200	added ('OK')	text/css	etag:%2255bd-53d2d05b31b80-gzip%22	http://practicaltypography.com/styles.css	practicaltypography.com/styles.css	(from http://practicaltypography.com/)
01:55:55	61/61	---M--	200	added ('OK')	text/css	etag:%223d-52da5a99c4d80%22	http://practicaltypography.com/firefox.css	practicaltypography.com/firefox.css	(from http://practicaltypography.com/)
01:55:56	61/61	---M--	200	added ('OK')	text/css	etag:%223d-530b126bfc540%22	http://practicaltypography.com/chrome.css	practicaltypography.com/chrome.css	(from http://practicaltypography.com/)
01:55:57	10967/10967	---M-Z	200	added ('OK')	text/html	etag:%222ad7-538c94febf900-gzip%22	http://practicaltypography.com/end-credits.html	practicaltypography.com/end-credits.html	(from http://practicaltypography.com/)
01:55:58	49932/49932	---M-Z	200	added ('OK')	text/html	etag:%22c30c-540416ab741c0-gzip%22	http://practicaltypography.com/the-scorpion-express.html	practicaltypography.com/the-scorpion-express.html	(from http://practicaltypography.com/)
01:55:59	8510/8510	---M-Z	200	added ('OK')	text/html	etag:%22213e-530b126bfc540-gzip%22	http://practicaltypography.com/typography-in-ten-minutes.html	practicaltypography.com/typography-in-ten-minutes.html	(from http://practicaltypography.com/)
01:56:00	8543/8543	---M-Z	200	added ('OK')	text/html	etag:%22215f-530b126bfc540-gzip%22	http://practicaltypography.com/summary-of-key-rules.html	practicaltypography.com/summary-of-key-rules.html	(from http://practicaltypography.com/)
01:56:01	8113/8113	---M-Z	200	added ('OK')	text/html	etag:%221fb1-530b126bfc540-gzip%22	http://practicaltypography.com/foreword.html	practicaltypography.com/foreword.html	(from http://practicaltypography.com/)
01:56:02	11857/11857	---M-Z	200	added ('OK')	text/html	etag:%222e51-538c94febf900-gzip%22	http://practicaltypography.com/introduction.html	practicaltypography.com/introduction.html	(from http://practicaltypography.com/)
01:56:03	5034/5034	---M-Z	200	added ('OK')	text/html	etag:%2213aa-530b126bfc540-gzip%22	http://practicaltypography.com/how-to-use.html	practicaltypography.com/how-to-use.html	(from http://practicaltypography.com/)
01:56:04	9361/9361	---M-Z	200	added ('OK')	text/html	etag:%222491-538c94febf900-gzip%22	http://practicaltypography.com/how-to-pay-for-this-book.html	practicaltypography.com/how-to-pay-for-this-book.html	(from http://practicaltypography.com/)
01:56:05	6462/6462	---M-Z	200	added ('OK')	text/html	etag:%22193e-530b126bfc540-gzip%22	http://practicaltypography.com/why-typography-matters.html	practicaltypography.com/why-typography-matters.html	(from http://practicaltypography.com/)
01:56:06	5818/5818	---M-Z	200	added ('OK')	text/html	etag:%2216ba-530b126bfc540-gzip%22	http://practicaltypography.com/what-is-typography.html	practicaltypography.com/what-is-typography.html	(from http://practicaltypography.com/)
01:56:07	6766/6766	---M-Z	200	added ('OK')	text/html	etag:%221a6e-530b126bfc540-gzip%22	http://practicaltypography.com/who-is-typography-for.html	practicaltypography.com/who-is-typography-for.html	(from http://practicaltypography.com/)
01:56:08	13497/13497	---M-Z	200	added ('OK')	text/html	etag:%2234b9-530b126bfc540-gzip%22	http://practicaltypography.com/why-does-typography-matter.html	practicaltypography.com/why-does-typography-matter.html	(from http://practicaltypography.com/)
01:56:09	9853/9853	---M-Z	200	added ('OK')	text/html	etag:%22267d-530b126bfc540-gzip%22	http://practicaltypography.com/what-is-good-typography.html	practicaltypography.com/what-is-good-typography.html	(from http://practicaltypography.com/)
01:56:10	7293/7293	---M-Z	200	added ('OK')	text/html	etag:%221c7d-530b126bfc540-gzip%22	http://practicaltypography.com/where-do-the-rules-come-from.html	practicaltypography.com/where-do-the-rules-come-from.html	(from http://practicaltypography.com/)
01:56:11	7595/7595	---M-Z	200	added ('OK')	text/html	etag:%221dab-530b126bfc540-gzip%22	http://practicaltypography.com/type-composition.html	practicaltypography.com/type-composition.html	(from http://practicaltypography.com/)
01:56:12	14593/14593	---M-Z	200	added ('OK')	text/html	etag:%223901-53d2cdee5a2c0-gzip%22	http://practicaltypography.com/straight-and-curly-quotes.html	practicaltypography.com/straight-and-curly-quotes.html	(from http://practicaltypography.com/)
01:56:13	12757/12757	---M-Z	200	added ('OK')	text/html	etag:%2231d5-53a3dcf8b9240-gzip%22	http://practicaltypography.com/one-space-between-sentences.html	practicaltypography.com/one-space-between-sentences.html	(from http://practicaltypography.com/)
01:56:14	5809/5809	---M-Z	200	added ('OK')	text/html	etag:%2216b1-530b126bfc540-gzip%22	http://practicaltypography.com/question-marks-and-exclamation-points.html	practicaltypography.com/question-marks-and-exclamation-points.html	(from http://practicaltypography.com/)
01:56:15	5697/5697	---M-Z	200	added ('OK')	text/html	etag:%221641-530b126bfc540-gzip%22	http://practicaltypography.com/semicolons-and-colons.html	practicaltypography.com/semicolons-and-colons.html	(from http://practicaltypography.com/)
01:56:16	7066/7066	---M-Z	200	added ('OK')	text/html	etag:%221b9a-530b126bfc540-gzip%22	http://practicaltypography.com/paragraph-and-section-marks.html	practicaltypography.com/paragraph-and-section-marks.html	(from http://practicaltypography.com/)
01:56:17	7038/7038	---M-Z	200	added ('OK')	text/html	etag:%221b7e-530b126bfc540-gzip%22	http://practicaltypography.com/parentheses-brackets-and-braces.html	practicaltypography.com/parentheses-brackets-and-braces.html	(from http://practicaltypography.com/)
01:56:18	10526/10526	---M-Z	200	added ('OK')	text/html	etag:%22291e-530b126bfc540-gzip%22	http://practicaltypography.com/hyphens-and-dashes.html	practicaltypography.com/hyphens-and-dashes.html	(from http://practicaltypography.com/)
01:56:19	7968/7968	---M-Z	200	added ('OK')	text/html	etag:%221f20-530b126bfc540-gzip%22	http://practicaltypography.com/trademark-and-copyright-symbols.html	practicaltypography.com/trademark-and-copyright-symbols.html	(from http://practicaltypography.com/)
01:56:20	4842/4842	---M-Z	200	added ('OK')	text/html	etag:%2212ea-530b126bfc540-gzip%22	http://practicaltypography.com/ampersands.html	practicaltypography.com/ampersands.html	(from http://practicaltypography.com/)
